country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
fr,sfr.fr,203352,0,False,True
fr,francetvinfo.fr,197922,23,False,False
fr,wikipedia.org,24904,1,False,False
fr,credit-agricole.fr,50628,6,False,False
fr,actu.fr,3215,6,False,False
fr,sfr.fr,203596,0,False,True
fr,journaldesfemmes.fr,202422,23,False,False
fr,msn.com,197922,6,False,False
fr,pinterest.fr,39886,10,False,False
fr,linkedin.com,12670,2,False,False
fr,lemonde.fr,16509,3,False,False
fr,ladepeche.fr,51083,82,False,False
fr,doctolib.fr,8399,0,True,False
fr,lemonde.fr,12322,3,False,False
fr,actu.fr,42487,6,False,False
fr,francetvinfo.fr,198682,24,False,False
fr,index-education.net,3215,4,False,False
fr,programme-tv.net,5410,8,False,False
fr,facebook.com,36492,3,False,False
fr,meteofrance.com,35540,40,False,False
fr,doctolib.fr,12626,6,False,False
fr,journaldesfemmes.fr,25540,5,False,False
fr,ladepeche.fr,31216,87,False,False
fr,bing.com,208574,1,False,False
fr,lefigaro.fr,1942,22,False,False
fr,wikipedia.org,57809,1,False,False
fr,live.com,60032,0,True,False
fr,gala.fr,41652,8,False,False
fr,cdiscount.com,47866,2,False,False
fr,leparisien.fr,8228,41,False,False
fr,voici.fr,20473,14,False,False
fr,impots.gouv.fr,203352,2,False,False
fr,msn.com,205669,2,False,False
fr,meteofrance.com,42487,14,False,False
fr,sfr.fr,20917,0,False,True
fr,instagram.com,50620,2,False,False
fr,francetvinfo.fr,39180,23,False,False
fr,credit-agricole.fr,39886,5,False,False
fr,instagram.com,12670,3,False,False
fr,booking.com,1307,5,False,False
fr,linkedin.com,30781,2,False,False
fr,wikipedia.org,174,1,False,False
fr,orange.fr,12876,40,False,False
fr,free.fr,206120,4,False,False
fr,instagram.com,31216,2,False,False
fr,impots.gouv.fr,36492,2,False,False
fr,orange.fr,50628,27,False,False
fr,bing.com,42845,1,False,False
fr,sfr.fr,47866,0,False,True
fr,wikipedia.org,57951,1,False,False
fr,doctolib.fr,43619,6,False,False
fr,ouest-france.fr,44494,9,False,False
fr,lefigaro.fr,2200,22,False,False
fr,doctolib.fr,20926,7,False,False
fr,linkedin.com,41652,2,False,False
fr,facebook.com,205669,3,False,False
fr,lemonde.fr,34863,3,False,False
fr,orange.fr,20766,42,False,False
fr,msn.com,51207,6,False,False
fr,journaldesfemmes.fr,39886,6,False,False
fr,tiktok.com,35625,17,False,False
fr,labanquepostale.fr,31216,5,False,False
fr,leboncoin.fr,203352,6,False,False
fr,free.fr,2200,4,False,False
fr,actu.fr,35393,6,False,False
fr,ladepeche.fr,1307,87,False,False
fr,leparisien.fr,39305,40,False,False
fr,orange.fr,39305,42,False,False
fr,lemonde.fr,3215,4,False,False
fr,linkedin.com,8487,2,False,False
fr,voici.fr,39405,14,False,False
fr,instagram.com,12727,0,False,True
fr,free.fr,30781,4,False,False
fr,gala.fr,44407,12,False,False
fr,msn.com,202422,2,False,False
fr,tiktok.com,8399,15,False,False
fr,pinterest.fr,8218,9,False,False
fr,programme-tv.net,57951,10,False,False
fr,doctolib.fr,203352,7,False,False
fr,sfr.fr,56339,0,False,True
fr,labanquepostale.fr,2259,4,False,False
fr,20minutes.fr,202422,15,False,False
fr,orange.fr,62000,42,False,False
fr,amazon.fr,8228,6,False,False
fr,instagram.com,16509,3,False,False
fr,free.fr,35540,3,False,False
fr,credit-agricole.fr,62000,6,False,False
fr,gala.fr,34970,6,False,False
fr,msn.com,57902,8,False,False
fr,doctolib.fr,202422,7,False,False
fr,gala.fr,198682,11,False,False
fr,doctolib.fr,198330,6,False,False
