Domain,Tracker or advertiser?,Source,Source Redirect/Error/More Info,Date Accessed,Checked,,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win
prismamedia.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,loopme.me
prismamediadigital.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,marktjagd.com
privacymanager.io,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,mediahuis.be
projectagora-adtag-library.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,mediasquare.fr
publisher1st.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,medija.hu
pushwize.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,metweb.ie
qubit.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,midas-network.com
qwtag.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,moatads.com
realtimely.io,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,mookie1.com
richie.app,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,moonicorn.network
sail-personalize.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,naanalle.pl
samplicio.us,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,notoria.pl
searchhub.io,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,npttech.com
socy.es,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,offerista.com
static-bahn.de,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,ohoy.io
stbm.it,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,olx.org
stroeerws.de,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,olxssa.com
supercasa.pt,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,omnitagjs.com
svenskaspel.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,openx.net
sysbee.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,optmn.cloud
tialoto.bg,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,orangeclickmedia.com
trackad.cz,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,ow.gr
uuidksinc.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,p3g.hu
viaplay.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,pagefair.net
web2media.sk,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,patgsrv.com
webhosting-wmd.hr,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,polarcdn-engine.com
weborama.design,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,polarcdn-terrax.com
worldgravity.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,polarcdn.com
zagreb.info,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,prebid.org
zxcvads.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,prismamedia.com
cookieinformation.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,prismamediadigital.com
cookiereports.com,FALSE,Frontpage,,10/3/22,,,privacymanager.io
doctolib.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,projectagora-adtag-library.com
footprint.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,projectagoraservices.com
guardianapis.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,proper.io
hirstart.hu,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,publisher1st.com
id24.bg,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,pubmatic.com
img-bahn.de,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,pushwize.com
investor.bg,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,qubit.com
irsdn.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,qwtag.com
iw.ro,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,realtimely.io
jofogas.hu,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,richaudience.com
joj.sk,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,richie.app
jwplayer.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,rubiconproject.com
jwpsrv.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,sail-personalize.com
live-video.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,searchhub.io
mediaset.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,servenobid.com
mtg-api.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,sharethrough.com
netinfo.bg,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,smaato.net
nocookie.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,smartadserver.com
olxcdn.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,smilewanted.com
openstreetmap.org,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,socy.es
pdst.fm,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,sonobi.com
prensaiberica.es,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,spotxchange.com
privacy-mgmt.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,static-bahn.de
protecmedia.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,stbm.it
rcs.it,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,stickyadstv.com
sdn.cz,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,stroeerws.de
sklik.cz,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,strossle.com
sp-prod.net,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,supercasa.pt
spreaker.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,svenskaspel.net
tiqcdn.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,sysbee.net
toi.de,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,teads.tv
twimg.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,tialoto.bg
